State,X,Y
Andhra Pradesh,-40,-150
Arunachal Pradesh,230,120
Assam,160,73
Bihar,55,50
Chhattisgarh,-10,-30
Goa,-160,-140
Gujarat,-175,-10
Haryana,-90,115
Himachal Pradesh,-50,170
Jharkhand,50,20
Karnataka,-105,-180
Kerala,-130,-240
Madhya Pradesh,-65,10
Maharashtra,-120,-60
Manipur,215,40
Meghalaya,140,50
Mizoram,200,10
Nagaland,220,70
Odisha,40,-40
Punjab,-117,150
Rajasthan,-150,70
Sikkim,100,100
Tamil Nadu,-70,-220
Telangana,-50,-100
Tripura,140,20
Uttar Pradesh,-30,80
Uttarakhand,-30,130
West Bengal,110,0
Andaman & Nicobar,220,-230
Delhi,-80,110
Ladakh,-40,230
Jammu & Kashmir,-90,210
Lakshadweep,-220, -200
Puducherry,-10,-200
Dadra & Nagar Haveli And Daman & Diu,-240,10
Chandigarh,-117,140